,COUNTY,ROUTE_TYPE,ROUTE_NUMBER,ROUTE_SUFFIX,FINAL_ROUTE_TYPE
0,11,RP,68,(no suffix),IS
1,1,IS,68,(no suffix),IS
2,21,IS,70,(no suffix),IS
5,11,US,40,AL,US
6,11,US,219,(no suffix),US
8,21,RP,70,(no suffix),IS
9,1,US,40,AL,US
10,21,MD,66,(no suffix),MD
11,21,MD,65,(no suffix),MD
12,21,MD,63,(no suffix),MD
13,21,MD,68,(no suffix),MD
15,21,MD,64,(no suffix),MD
16,2,MD,713,(no suffix),MD
17,2,MD,3,(no suffix),MD
19,3,RP,695,(no suffix),IS
22,3,RP,95,(no suffix),IS
23,3,RP,70,(no suffix),IS
25,3,MD,26,(no suffix),MD
26,3,MD,45,(no suffix),MD
27,3,MD,140,(no suffix),MD
28,3,MD,146,(no suffix),MD
42,17,US,301,(no suffix),US
44,12,MD,924,(no suffix),MD
45,17,MD,300,(no suffix),MD
48,17,MD,300,A,MD
51,20,MD,662,B,MD
53,8,MD,6,(no suffix),MD
54,8,US,301,(no suffix),US
55,21,US,11,(no suffix),US
56,11,MD,828,(no suffix),MD
60,11,MD,669,(no suffix),MD
61,2,MD,214,(no suffix),MD
66,7,MD,222,A,MD
67,16,RP,95,(no suffix),IS
68,16,MD,223,(no suffix),MD
69,16,MD,193,(no suffix),MD
74,18,MD,237,(no suffix),MD
75,18,MD,246,(no suffix),MD
76,18,MD,584,(no suffix),MD
78,16,MD,198,(no suffix),MD
79,23,RP,90,(no suffix),MD
81,2,RP,50,(no suffix),US
82,2,MD,908,E,MD
87,22,MD,54,(no suffix),MD
90,22,MD,347,(no suffix),MD
91,22,MD,349,(no suffix),MD
94,23,US,50,(no suffix),US
96,22,MD,731,A,MD
97,22,MD,346,(no suffix),MD
98,22,MD,12,(no suffix),MD
99,23,MD,12,(no suffix),MD
100,23,US,13,(no suffix),US
104,23,US,13,BU,US
106,23,MD,346,(no suffix),MD
110,24,IS,70,(no suffix),IS
111,23,MD,575,C,MD
112,23,US,113,(no suffix),US
113,24,IS,83,(no suffix),IS
116,22,MD,354,(no suffix),MD
117,10,MD,180,(no suffix),MD
119,10,MD,464,(no suffix),MD
121,23,MD,377,(no suffix),MD
123,22,US,50,(no suffix),US
124,22,MD,353,(no suffix),MD
126,24,RP,83,(no suffix),IS
129,12,MD,7,(no suffix),MD
131,13,RP,70,(no suffix),IS
153,16,MD,410,(no suffix),MD
154,24,RP,95,(no suffix),IS
156,6,MD,84,(no suffix),MD
157,6,MD,140,(no suffix),MD
162,10,MD,478,(no suffix),MD
163,13,MD,216,(no suffix),MD
164,18,MD,236,(no suffix),MD
165,4,MD,778,(no suffix),MD
166,4,MD,521,(no suffix),MD
168,6,MD,482,(no suffix),MD
169,19,MD,413,(no suffix),MD
174,24,MD,2,(no suffix),MD
177,1,MD,639,(no suffix),MD
183,10,US,15,(no suffix),US
184,10,US,15,B,US
196,4,MD,4,(no suffix),MD
199,3,MD,25,(no suffix),MD
200,3,US,1,(no suffix),US
202,13,MD,144,A,MD
209,2,RP,100,(no suffix),MD
228,22,RP,13,(no suffix),US
232,22,US,13,(no suffix),US
236,22,US,13,BU,US
240,22,US,50,BU,US
248,18,MD,249,(no suffix),MD
252,18,MD,472,(no suffix),MD
253,18,MD,712,(no suffix),MD
254,18,MD,944,(no suffix),MD
255,18,MD,944,F,MD
257,6,MD,30,BC,MD
258,23,MD,921,L,MD
259,9,MD,16,(no suffix),MD
260,10,MD,85,(no suffix),MD
262,24,US,1,(no suffix),US
263,24,RP,895,(no suffix),IS
279,10,MD,26,(no suffix),MD
280,1,MD,55,(no suffix),MD
281,10,US,340,(no suffix),US
285,24,MD,129,(no suffix),MD
291,16,IS,95,(no suffix),IS
